 _   _                           _        _     _     _   
gpgv/kali-rolling 2.4.7-17 amd64 [upgradable from: 2.4.7-15]
groff-base/kali-rolling 1.23.0-8 amd64 [upgradable from: 1.23.0-7]
gstreamer1.0-gl/kali-rolling 1.26.1-1 amd64 [upgradable from: 1.26.0-1]
gstreamer1.0-libav/kali-rolling 1.26.1-1 amd64 [upgradable from: 1.26.0-1]
gstreamer1.0-plugins-bad/kali-rolling 1.26.1-1 amd64 [upgradable from: 1.26.0-1]
gstreamer1.0-plugins-base/kali-rolling 1.26.1-1 amd64 [upgradable from: 1.26.0-1]
gstreamer1.0-plugins-good/kali-rolling 1.26.1-1 amd64 [upgradable from: 1.26.0-1]
gstreamer1.0-x/kali-rolling 1.26.1-1 amd64 [upgradable from: 1.26.0-1]
gtk-update-icon-cache/kali-rolling 4.18.5+ds-1 amd64 [upgradable from: 4.18.4+ds-2]
gvmd-common/kali-rolling 26.0.0-0kali2 all [upgradable from: 25.2.1-1]
gvmd/kali-rolling 26.0.0-0kali2 amd64 [upgradable from: 25.2.1-1]
hwloc/kali-rolling 2.12.0-4 amd64 [upgradable from: 2.12.0-1]
intel-media-va-driver/kali-rolling 25.2.1+dfsg1-1 amd64 [upgradable from: 25.1.4+dfsg1-1]
intel-microcode/kali-rolling 3.20250512.1 amd64 [upgradable from: 3.20250211.1]
iproute2/kali-rolling 6.14.0-3 amd64 [upgradable from: 6.13.0-1]
ipython3/kali-rolling 8.35.0-1 all [upgradable from: 8.30.0-2]
javascript-common/kali-rolling 12+nmu1 all [upgradable from: 12]
kali-defaults-desktop/kali-rolling 2025.2.4 all [upgradable from: 2025.2.0]
kali-defaults/kali-rolling 2025.2.4 all [upgradable from: 2025.2.0]
kali-desktop-base/kali-rolling 2025.2.5 all [upgradable from: 2025.2.1]
kali-desktop-core/kali-rolling 2025.2.10 amd64 [upgradable from: 2025.2.3]
kali-desktop-xfce/kali-rolling 2025.2.10 all [upgradable from: 2025.2.3]
kali-linux-core/kali-rolling 2025.2.10 amd64 [upgradable from: 2025.2.3]
kali-linux-default/kali-rolling 2025.2.10 amd64 [upgradable from: 2025.2.3]
kali-linux-firmware/kali-rolling 2025.2.10 amd64 [upgradable from: 2025.2.3]
kali-linux-headless/kali-rolling 2025.2.10 amd64 [upgradable from: 2025.2.3]
kali-menu/kali-rolling 2025.2.7 all [upgradable from: 2025.2.2]
kali-system-cli/kali-rolling 2025.2.10 amd64 [upgradable from: 2025.2.3]
kali-system-core/kali-rolling 2025.2.10 amd64 [upgradable from: 2025.2.3]
