 _   _                           _        _     _     _   
python3-scipy/kali-rolling 1.15.3-1 amd64 [upgradable from: 1.15.2-8]
python3-setproctitle/kali-rolling 1.3.6-2 amd64 [upgradable from: 1.3.5-1]
python3-setuptools-whl/kali-rolling 78.1.0-1.2 all [upgradable from: 75.8.0-1]
python3-setuptools/kali-rolling 78.1.0-1.2 all [upgradable from: 75.8.0-1]
python3-soupsieve/kali-rolling 2.7-1 all [upgradable from: 2.6-1]
python3-speechd/kali-rolling 0.12.0-4 all [upgradable from: 0.12.0-3]
python3-tornado/kali-rolling 6.4.2-3 amd64 [upgradable from: 6.4.2-1]
python3-tqdm/kali-rolling 4.67.1-5 all [upgradable from: 4.67.1-4]
python3-unidecode/kali-rolling 1.4.0-1 all [upgradable from: 1.3.8-1]
python3-venv/kali-rolling 3.13.3-1 amd64 [upgradable from: 3.13.2-2]
python3-wadllib/kali-rolling 2.0.0-3 all [upgradable from: 2.0.0-2]
python3-webargs/kali-rolling 8.7.0-1 all [upgradable from: 8.6.0-1]
python3-wheel-whl/kali-rolling 0.46.1-2 all [upgradable from: 0.45.1-1]
python3-wheel/kali-rolling 0.46.1-2 all [upgradable from: 0.45.1-1]
python3.13-dev/kali-rolling 3.13.3-2 amd64 [upgradable from: 3.13.2-2]
python3.13-minimal/kali-rolling 3.13.3-2 amd64 [upgradable from: 3.13.2-2]
python3.13-tk/kali-rolling 3.13.3-2 amd64 [upgradable from: 3.13.2-2]
python3.13-venv/kali-rolling 3.13.3-2 amd64 [upgradable from: 3.13.2-2]
python3.13/kali-rolling 3.13.3-2 amd64 [upgradable from: 3.13.2-2]
python3/kali-rolling 3.13.3-1 amd64 [upgradable from: 3.13.2-2]
responder/kali-rolling 3.1.6.0-0kali1 all [upgradable from: 3.1.5.0-0kali2]
ripgrep/kali-rolling 14.1.1-1+b4 amd64 [upgradable from: 14.1.1-1+b3]
ruby3.3-dev/kali-rolling 3.3.8-2 amd64 [upgradable from: 3.3.8-1]
ruby3.3-doc/kali-rolling 3.3.8-2 all [upgradable from: 3.3.8-1]
ruby3.3/kali-rolling 3.3.8-2 amd64 [upgradable from: 3.3.8-1]
sane-airscan/kali-rolling 0.99.35-1 amd64 [upgradable from: 0.99.34-1]
screen/kali-rolling 4.9.1-3 amd64 [upgradable from: 4.9.1-1]
snmp/kali-rolling 5.9.4+dfsg-2 amd64 [upgradable from: 5.9.4+dfsg-1.1+b3]
snmpd/kali-rolling 5.9.4+dfsg-2 amd64 [upgradable from: 5.9.4+dfsg-1.1+b3]
speech-dispatcher-audio-plugins/kali-rolling 0.12.0-4 amd64 [upgradable from: 0.12.0-3]
speech-dispatcher-espeak-ng/kali-rolling 0.12.0-4 amd64 [upgradable from: 0.12.0-3]
speech-dispatcher/kali-rolling 0.12.0-4 amd64 [upgradable from: 0.12.0-3]
sqlite3/kali-rolling 3.46.1-4 amd64 [upgradable from: 3.46.1-3]
sqv/kali-rolling 1.3.0-2 amd64 [upgradable from: 1.3.0-1]
statsprocessor/kali-rolling 0.11+git20160316-5 amd64 [upgradable from: 0.11+git20160316-4]
strongswan/kali-rolling 6.0.1-1 all [upgradable from: 5.9.13-2]
sudo/kali-rolling 1.9.16p2-2 amd64 [upgradable from: 1.9.16p2-1]
tzdata-legacy/kali-rolling 2025b-3 all [upgradable from: 2025b-2]
tzdata/kali-rolling 2025b-3 all [upgradable from: 2025b-2]
vim-common/kali-rolling 2:9.1.1230-2 all [upgradable from: 2:9.1.1230-1]
vim-runtime/kali-rolling 2:9.1.1230-2 all [upgradable from: 2:9.1.1230-1]
vim-tiny/kali-rolling 2:9.1.1230-2 amd64 [upgradable from: 2:9.1.1230-1]
vim/kali-rolling 2:9.1.1230-2 amd64 [upgradable from: 2:9.1.1230-1]
whois/kali-rolling 5.6.1 amd64 [upgradable from: 5.5.23]
wtmpdb/kali-rolling 0.73.0-3 amd64 [upgradable from: 0.73.0-2]
xbrlapi/kali-rolling 6.7-3.1 amd64 [upgradable from: 6.7-1+b3]
xserver-common/kali-rolling 2:21.1.16-1.1 all [upgradable from: 2:21.1.16-1]
xserver-xephyr/kali-rolling 2:21.1.16-1.1 amd64 [upgradable from: 2:21.1.16-1]
xserver-xorg-core/kali-rolling 2:21.1.16-1.1 amd64 [upgradable from: 2:21.1.16-1]
xserver-xorg-legacy/kali-rolling 2:21.1.16-1.1 amd64 [upgradable from: 2:21.1.16-1]
xvfb/kali-rolling 2:21.1.16-1.1 amd64 [upgradable from: 2:21.1.16-1]
xxd/kali-rolling 2:9.1.1230-2 amd64 [upgradable from: 2:9.1.1230-1]
yelp/kali-rolling 42.2-4 amd64 [upgradable from: 42.2-3]
zenmap/kali-rolling 7.95+dfsg-3kali1 all [upgradable from: 7.95+dfsg-1kali1]
zip/kali-rolling 3.0-15 amd64 [upgradable from: 3.0-14]
zsh/kali-rolling 5.9-8+b9 amd64 [upgradable from: 5.9-8+b7]
